text,author,display_name,date,likes,quotes,replies,reposts,uri,url,reply_to,reply_to_uri,reply_to_url,query
"I stay up late and can’t sleep almost every night. I get up every morning hoping he is unalive.

One day it will be Xmas for me even if it’s not December 25. 

I’m not going to lie.",zen4ever2us.bsky.social,Liz (or Lizzie) Kim 김혜성 💫,2025-04-12T13:46:44.186Z,42,0,7,4,at://did:plc:dxowv7xhhfzazjo3fgi7nv53/app.bsky.feed.post/3lmmoaem5wk2g,https://bsky.app/profile/did:plc:dxowv7xhhfzazjo3fgi7nv53/post/3lmmoaem5wk2g,No,,,unalive
"I'm pretty sure someone says ""unalive"" instead of ""kill"" in the Minecraft movies without a hint of irony. 

What happened.",finlopes.bgay.social,Finlopes97,2025-04-14T08:51:45.000Z,6,0,2,0,at://did:plc:dzb433oi6jkcqcbgxit7s4vl/app.bsky.feed.post/3lmr6oqbjic2v,https://bsky.app/profile/did:plc:dzb433oi6jkcqcbgxit7s4vl/post/3lmr6oqbjic2v,Yes,at://did:plc:uqppyrcon566pkrszusjonav/app.bsky.feed.post/3lmr67dl25c2s,https://bsky.app/profile/did:plc:uqppyrcon566pkrszusjonav/post/3lmr67dl25c2s,unalive
"I find all of this completely ludicrous. ""Unalive"" - Jesus fucking Christ. It crops up all the time in autogenerated subtitles and it's driving me mental. We're devolving into fucking baby talk trying to adhere to guidelines we can't see and that may not exist.",travisjj.bsky.social,Travis Johnson,2025-04-14T14:56:22.163Z,11,0,1,2,at://did:plc:5pwzpepcw2qcf4xi5bgrkult/app.bsky.feed.post/3lmrt2pxemk2g,https://bsky.app/profile/did:plc:5pwzpepcw2qcf4xi5bgrkult/post/3lmrt2pxemk2g,No,,,unalive
"remembering that dipshit american girl on tiktok crying at a canadian going ""YOU CANADIANS ARE GOING TO UNALIVE MILLIONS OF PEOPLE BY CUTTING OFF ENERGY TO MICHIGAN AND PENNSYLVANIA"" lol",groverhaustenbosch.bsky.social,Groverhuis,2025-04-11T23:07:28.846Z,15,0,2,0,at://did:plc:jcdj4jhpz5c3x3kad3u6npic/app.bsky.feed.post/3lml5456x7k2j,https://bsky.app/profile/did:plc:jcdj4jhpz5c3x3kad3u6npic/post/3lml5456x7k2j,Yes,at://did:plc:44yddrxlbkmufwcl6yajflro/app.bsky.feed.post/3lmkwltc4fk2a,https://bsky.app/profile/did:plc:44yddrxlbkmufwcl6yajflro/post/3lmkwltc4fk2a,unalive
"Today, I ordered a rice bowl, and instead of getting my normal non spicy sauce, I mistakenly got hot sauce. I couldn't finish and felt like I was dying. I would never waste food and feel bad I did.
When someone says ""this could unalive a victorian child"", I am
Victorian Child 🥲",jkosmic.bsky.social,J. Kosmic,2025-04-14T02:35:02.156Z,21,0,3,0,at://did:plc:p2z6yphbsdcwmmjqeckdi4a2/app.bsky.feed.post/3lmqjn4jwc22r,https://bsky.app/profile/did:plc:p2z6yphbsdcwmmjqeckdi4a2/post/3lmqjn4jwc22r,No,,,unalive
Or unalive!!,cdncarpenterwriter.bsky.social,Bruce Anderson,2025-04-10T13:34:48.705Z,6,0,0,0,at://did:plc:fzzposjobjv5ta23xgfxwppa/app.bsky.feed.post/3lmhmn7dvzc2h,https://bsky.app/profile/did:plc:fzzposjobjv5ta23xgfxwppa/post/3lmhmn7dvzc2h,Yes,at://did:plc:bdf5nzzryl4xlimkdm4crycg/app.bsky.feed.post/3lmhmkzt4ns2n,https://bsky.app/profile/did:plc:bdf5nzzryl4xlimkdm4crycg/post/3lmhmkzt4ns2n,unalive
If this is Gozyuger then we need to unalive this fool on principal,emperorlexi5.bsky.social,Emperor Alexis🏳️‍⚧️,2025-04-13T23:04:39.263Z,4,0,1,0,at://did:plc:3mu7lqx2mveotheftis5xrfd/app.bsky.feed.post/3lmq5uwf6ss2f,https://bsky.app/profile/did:plc:3mu7lqx2mveotheftis5xrfd/post/3lmq5uwf6ss2f,Yes,at://did:plc:oklvrrbyudbo6mjd7znq7vlm/app.bsky.feed.post/3lmq5lb6fys2h,https://bsky.app/profile/did:plc:oklvrrbyudbo6mjd7znq7vlm/post/3lmq5lb6fys2h,unalive
I personally think the doj delay is because they know they man is unalive.,mwharrisesq.bsky.social,BlackLadyLawyer08,2025-04-12T12:59:16.146Z,6,0,0,1,at://did:plc:dk3wiqv65q5xez6tvbmrtdj6/app.bsky.feed.post/3lmmlliiuuk2p,https://bsky.app/profile/did:plc:dk3wiqv65q5xez6tvbmrtdj6/post/3lmmlliiuuk2p,Yes,at://did:plc:bfdiyietterineb3cvu3ddco/app.bsky.feed.post/3lmkarcz6ys27,https://bsky.app/profile/did:plc:bfdiyietterineb3cvu3ddco/post/3lmkarcz6ys27,unalive
"Mine too. If the rotting orange is paying them to “house” people, who’s to say they don’t unalive them to open up space for more deportees to get more money?",skylara.bsky.social,Sky,2025-04-11T18:12:18.026Z,18,0,1,0,at://did:plc:rvyverbvayl3vxph625l6lmd/app.bsky.feed.post/3lmkmmcw3ax2q,https://bsky.app/profile/did:plc:rvyverbvayl3vxph625l6lmd/post/3lmkmmcw3ax2q,Yes,at://did:plc:zp5p2zwq5kx4x67obogi7xpn/app.bsky.feed.post/3lmklr6lui22a,https://bsky.app/profile/did:plc:zp5p2zwq5kx4x67obogi7xpn/post/3lmklr6lui22a,unalive
They are all unalive. Trump can’t risk having any of them coming back and making his life miserable,t-fish.bsky.social,T-Fish🇨🇦🍁,2025-04-13T01:02:20.449Z,4,0,1,0,at://did:plc:56e7yw4nkilbpsc5dzhq4xdf/app.bsky.feed.post/3lmntygypc223,https://bsky.app/profile/did:plc:56e7yw4nkilbpsc5dzhq4xdf/post/3lmntygypc223,Yes,at://did:plc:gjub7aut3cqj2u5p4xakmjbr/app.bsky.feed.post/3lmntwjmxh22q,https://bsky.app/profile/did:plc:gjub7aut3cqj2u5p4xakmjbr/post/3lmntwjmxh22q,unalive
